qt,qt,openstack,openstack
accelerometer,0.5859326049685478, almost,0.5741146430373192
separate,0.5848718482101786, approved,0.5714195569356283
evaluator,0.5847880691289902, switches,0.5640262365341187
lorn.potter,0.5803846327158121, aggregate,0.5639189690351486
popup,0.5775004997849464, disabling,0.5595447003841401
warning,0.5766721968155574, pool_id,0.5578928515315056
mistakenly,0.5766556262969971, rootwrap,0.555337463816007
\internal,0.5728401839733124, lun,0.5538035482168198
stromme,0.5654491228716714, zhi,0.5502011080582937
parent,0.5631120520333449, dealing,0.5483737960457802
raster,0.5598852234807882, v2.0,0.5473844607671102
literature,0.5590101182460785, resolves,0.5466116368770599
mismatch,0.5557102002203465, compare,0.5418079178780317
determining,0.5517175793647766, commits,0.5399540364742279
rødal,0.5503975906051122, information,0.5394191535125519
mistakes,0.5487306229770184, references,0.5389244258403778
qtserialport,0.5470538511872292, counting,0.5381180892388026
ready-,0.5465564578771591, bigswitch,0.5374923416723808
live.com,0.5451447367668152, fixed_ips,0.5352253615856171
determination,0.5448796674609184, networks_associate,0.5323374420404434
webgl,0.5416159729162852, deps,0.5303038607041041
oswald.buddenhagen,0.5409673390965567, docstrings,0.530013345181942
qtbug-20719,0.5406377464532852, accept-language,0.5281747132539749
wrapping,0.5403425693511963, codes,0.5242922194302082
detect,0.5337423885410483, interest,0.5219964683055878
serialport,0.5330247581005096, given,0.520609150826931
refers,0.5324148933092753, edd73c9,0.5202350355684757
andras.becsi,0.5323008385797342, specs,0.5196745495001475
build,0.5308348170717011, hacking.py,0.5184606984257698
qcolor,0.529557983080546, threat,0.5175775941461325
narrowing,0.5278979241847992, domain,0.5124923868570477
mcgovern,0.526616608310077, content-md5,0.5108385225757957
compat,0.5257618352770805, namespaces,0.5083756055682898
enable,0.5237165285694984, 'deleted,0.5081761851906776
repository,0.5213173851370811, network_driver,0.5059839710593224
stores,0.521035393079122, entries,0.5025910004973412
destroying,0.5207967509826025, tempurls,0.5009775984411439
geo,0.5200532749295235, vars,0.5
throughout,0.5198247730731964, clean-up,0.5
readonly,0.5196030835310618, s3_listen_port,0.5
qinputmethodevent,0.5191290155053139, 975483,0.5
protection,0.5188325941562653, mirroring,0.5
david.faure,0.5180231835693121, testcase,0.5
:fromutf8,0.5177032053470612, utilizes,0.5
spec,0.5158442497253418, aimed,0.5
possibly,0.5138438483700156, get_ec2_metadata,0.5
incompatible,0.5098683275282383, 'itemnotfound,0.5
qicon,0.5095105568567911, update_floatingip_statuses,0.5
hash,0.5091450760761896, exposing,0.4998037616411845
itemization,0.5087727606296539, authmiddleware,0.4993590712547302
release,0.5072634432178277, uc,0.4980986416339874
heap,0.5069254865361885, nova.tests.compute.test_compute.computetestcase.test_state_revert,0.49641840159893036
qwebsocket,0.5068210288882256, nova-v2-api-audit,0.4927409589290619
records,0.5067087560892105, disable-server-extensions,0.4925314436356227
direction,0.5053986310958862, respectively,0.49201567471027374
wrapper,0.5050607234239578, automatic,0.4900740186373393
qtconcurrentcompilertest.h,0.5037301718257368, involved,0.4899028390645981
unreachable,0.5037012211978436, upload,0.4884282513098283
qlocaleprivate,0.5026198327541351, redhat.com,0.48700117667516074
bound,0.502436950802803, accept,0.4867663346230984
qpa,0.5016235058089175, image_id,0.48596929758787155
trigger,0.5011916566978801, upgrading,0.4833199878533681
overview,0.5010948292911053, type,0.4826699766745864
linear,0.5010619312524796, capture,0.47667549923062325
-fully-process,0.5, 'location,0.47614036628510803
discarded,0.5, encrypt,0.4735785946249962
qplatformdialoghelper,0.5, stropt,0.4728616923093796
:data,0.5, support,0.4718187564888792
counting,0.5, calculate,0.47121067345142365
animate,0.5, nicer,0.4693358987569809
bill,0.5, nova/virt,0.46562663714090985
trap,0.5, bad,0.46171417087316513
tests/shared/util.h,0.5, image_properties,0.4593483805656433
eight,0.5, restproxy-plugin,0.4593367259949446
soname,0.5, 'system_metadata,0.45924923568964005
drawellipse,0.5, appropriately,0.45790570229291916
spacing,0.5, disk_bus,0.45680559054017067
executionengine,0.5, faster,0.45446551591157913
relaxed,0.5, parameters,0.4543851225171238
rtl,0.5, consistently,0.4542496632784605
dashes,0.5, cn.ibm.com,0.446535836905241
fiddling,0.5, apis,0.4446924775838852
accesscontroloperation,0.5, canonical.com,0.4422853061308463
sensor,0.49646466970443726, neutron-tempest-parallel,0.44214004278182983
spotted,0.49338871240615845, make-string-localizable,0.4411282539367676
copyrights,0.49262726306915283, compute/api,0.4409133568406105
succeeded,0.49193507929642993, 'nullable,0.4396963119506836
lars,0.4918440258938127, ut,0.4396555150548617
validator,0.4912439286708832, mounts,0.4382771948973338
arve,0.49040231481194496, n1kv,0.4378866639453918
:dokerning,0.49033498764038086, primitive,0.4363064430654049
osx,0.49018208014043313, notimplementederror,0.43508121371269226
routing,0.48978933691978455, proceeding,0.4343690425157547
qtabbar,0.4885252118110657, float,0.43387815402820706
auto-generated,0.48722007125616074, protected,0.4335042101641496
jeremy.laine,0.48408806324005127, flag,0.4333782996982336
except,0.4829658091068268, slow,0.4309661388397217
ints,0.4816008862107992, pylint,0.43059293925762177
compiling,0.4799287706613541, helps,0.43031223793514073
line,0.47883862577552017, devstack,0.42995725269429386
gracefully,0.4767817333340645, marked,0.4284667285780112
node,0.47632579099048267, admins,0.4271071255207062
macs,0.4762398647144437, nbd,0.42706452682614326
native,0.4747345199036162, isolated,0.426727969199419
qvideosurfacearbfppainter,0.4732906371355057, logged,0.4256519531974426
created,0.4731943244414945, rows,0.4245081368301596
optimisation,0.47179344296455383, live_snapshot,0.4243164733052254
alex.blasche,0.4717429813463241, api-2,0.42125821113586426
readable,0.4714650387565295, purely,0.4205246940255165
paragraphs,0.4713276010006666, unittests,0.4189392179250717
icc,0.47098905371967703, proper,0.4181844502953546
chris.adams,0.47083839774131775, 1.4.6,0.4177267849445343
odr,0.47033682465553284, custom,0.41702867216534084
masm,0.47009846319754917, deployment,0.4163671334584554
inaccessible,0.46929730474948883, retries,0.4097226932644844
=0,0.4673501327633858, tool,0.40784570574760437
needed,0.4663775254092697, themselves,0.40720733006795246
modify,0.46508298136971216, prefix,0.4047750551253557
marko,0.4639611393213272, glance-manage,0.4040696620941162
remote,0.46358347684144974, remain,0.4023617282509804
related,0.45986937389018073, openstack-common,0.40209120054813946
qweakpointer,0.4579656086862087, missed,0.40194863034412265
morten.sorvig,0.4573175487507667, compute_api,0.4002123810350895
graphicssurface,0.4563992917537689, place,0.3993739922427469
affects,0.4555004835128784, twisted,0.39836205542087555
qqmlcomponent,0.4548651973406474, originally,0.3974907696247101
qurlquery,0.4534321427345276, cross,0.39569269120693207
qstrings,0.45160426711663604, hack,0.3948999546468258
wmf,0.4496893625910161, impl,0.3947918266057968
playback,0.44881703870164025, transport_url,0.39365276337290805
says,0.4487791561654636, 'id,0.392949391156435
qquickdwmfeatures,0.4479420855641365, processing,0.3925945485631625
newer,0.44687596559524534, steve,0.39069029688835144
support,0.4468474825029898, securityimpact,0.39052121341228485
guarding,0.44643881916999817, ibm,0.38969031535089016
exter,0.44586077545370373, prefixes,0.3885718435049057
servers,0.44488877058029175, floating_ips,0.3880627155303955
raw,0.44423791468143464, assumption,0.3878036066889763
whereby,0.44395746290683746, mean,0.3870525062084198
meta-object,0.4430168904364109, ones,0.3855985200830868
append,0.4420413989573717, performed,0.3845356944948435
target,0.44094785764103844, accordingly,0.38386627410848934
uuid,0.44090011343359947, becomes,0.3832702711224556
hover,0.4408658668398857, internal-uuids,0.38304786880811054
accessors,0.4408387988805771, registers,0.3819208840529124
hide,0.44052383303642273, remove_fixed_ip,0.3791046341260274
binary-incompatible,0.43926863372325897, 1006467,0.37734872102737427
detection,0.43760072853830123, remove_volume_connection,0.375800222158432
broke,0.4374917546908061, config_drive,0.37528087695439655
successfully,0.4367802639802297, flat,0.37399100344628095
subsystems,0.43616673089563845, looks,0.3738499581813812
chdir,0.43590205907821655, part2,0.3737765997648239
comparison,0.43415973388722967, kowalik,0.37362077832221985
exclusive,0.43302007764577866, part,0.37334342282265426
qprintsupport,0.432313213745753, postgresql,0.3730917613953352
save,0.43194351146618526, db-session-cleanup,0.37303732335567474
main.cpp,0.4293297330538432, preparation,0.3729998767375946
marko.a.niemela,0.4283669739961624, security-groups,0.3719836696982384
bernd,0.4274672567844391, enumerator,0.3719667959958315
fabian,0.42658867267891765, vbd,0.37018290162086487
determined,0.42520880699157715, negative,0.3690752585728963
rohan,0.42216623188168917, unneeded,0.3687156915664673
exact,0.4213316738605499, builtin,0.368558332324028
grained,0.4209621548652649, reconnect,0.36829131344954175
background,0.42029209807515144, soft,0.36757667642086744
qtsql,0.4190731644630432, dhcp_domain,0.36721106618642807
sysconf,0.41838473081588745, prior,0.3671172655054501
containers,0.41835871785879136, takes,0.3663324903358113
pretty,0.41720146760344506, 5000,0.36616142094135284
be,0.4163514081251804, written,0.36506003394190756
undocumented,0.41436539217829704, user-locale-api,0.36505502462387085
5.x,0.41366732865571976, multiple,0.3642480981349945
generating,0.41342768669128416, record,0.36376992816274817
clipping,0.41265375912189484, work,0.36312451936078793
appx,0.41156795620918274, libvirt-xml-config-apis,0.3628115803003311
inherently,0.4113265722990036, libvirt-opts-group,0.3628019094467163
approaches,0.41067906220753986, sm_backend_conf_get_by_sr,0.36180660128593445
shifted,0.4103751629590988, detail,0.36112496194740135
inverted,0.410236656665802, cleaned,0.3610326945781708
dangling,0.40941181033849716, optimization,0.36055411646763486
5.3,0.4084230562051137, net,0.3597564846277237
rabbe,0.408286618689696, vendors,0.3591544106602669
5.1,0.4079224556684494, reported,0.35898082703351974
accidentally,0.4074418991804123, apache,0.35762979090213776
qaccessiblestatechangeevent,0.40741267800331116, jobs,0.3559662103652954
texture,0.4073418306515497, template,0.3547823892699348
order,0.4072578340195693, implementing,0.3546469993889332
mentioning,0.40670356154441833, unified-object-model,0.3539024979496996
lincoln.ramsay,0.40634164214134216, statistics,0.3535170555114746
progress,0.4058893546462059, correct,0.35328735347305024
james.turner,0.4057972580194473, wmi,0.352808157602946
fact,0.40551330894231796, from,0.35219480103542616
bogdan,0.4052258841270073, castascall,0.35100485384464264
on-demand,0.40513694286346436, co-authored-by,0.3508033997246197
gone,0.4045718418700354, checksum,0.34770512767136097
petroules.com,0.4043714574405125, attaches,0.3453037366271019
string1,0.40431398153305054, flavornotfound,0.34508392214775085
account,0.40340381217273796, reservations,0.3443196912606557
takes,0.402831783088354, attempting,0.3440204014380773
limit,0.4022085964679718, diskconfig,0.343789193003128
getglyphoutline,0.4005530575911204, service,0.3436444254044224
fast,0.4005434080221069, before,0.3433609142508588
mention,0.4000459983944893, risk,0.3417065441608429
tag,0.39919196907430887, never,0.3414565559476614
qeglfshooks,0.39906659722328186, mech,0.3409707248210907
write,0.3983435481786728, cases,0.34085792978294194
slows,0.3982871249318123, 1174809,0.34066104888916016
partially,0.39658278971910477, caching,0.3393436074256897
daniel.teske,0.39646515250205994, anymore,0.33892451599240303
kernel,0.3964392006293767, nova/utils,0.3382459282875061
zsolt.simon,0.3958978106578191, i3424d0a401b3ef7a3254d3e913263554361a52ff,0.3375677764415741
michael.brasser,0.3958373484015465, anywhere,0.337423175573349
msvc-warning,0.39513836055994034, allocated,0.33739172108471394
scapig,0.3942250534892082, casing,0.337015266995877
special,0.3939468339085579, owner,0.3368365714947383
qiosviewcontroller,0.3939356505870819, v3,0.3365718270651996
5.2.1,0.39358893036842346, greenthread.sleep,0.33649004250764847
weird,0.3932077884674072, _check_instance_build_time,0.3342868387699127
qexpect_fail,0.39309353178197687, chain,0.3342212066054344
qjsonvalueref,0.39293696482976276, :,0.3335273727428585
memorymanager,0.3924187920987606, hoststate,0.3324217200279236
10,0.391711488366127, _commit_puts,0.33167606592178345
storm-olsen,0.39044737602983204, term,0.3316382169723511
iterator,0.39043378333250683, greenthread,0.3312646994988124
comparisons,0.3897642493247986, basic,0.331043004989624
dividing,0.3894655108451843, queries,0.33070641434328124
rand_r,0.3894193768501282, unlimited,0.32970087230205536
qrect,0.38842928409576416, service_update,0.32835211356480914
resolver,0.38737136125564575, bits,0.3283508587628603
sufficient,0.38703693151474, add/remove,0.32806849479675293
mobility,0.38532623648643494, unless,0.32801827953921425
redundant,0.38462307086835307, limits,0.32733223363757136
:error,0.38378335535526276, writing,0.32730673626065254
container,0.3837674520909786, your,0.326871448662132
registered,0.38305943459272385, displayed,0.3265414834022522
exposure,0.38258062799771625, merged,0.3261359119787812
vs,0.38169243435064953, glusterfs,0.3257013186812401
breakage,0.381549929579099, tempauth,0.32516488432884216
docprivate*,0.3810988962650299, '__mro__,0.32432809472084045
uiprocess/api/qt/qquickwebview.cpp,0.38054797425866127, improvement,0.32431425154209137
extra,0.3791868871077895, accessible,0.32356570288538933
andreas.holzammer,0.379182431101799, gmail.com,0.3233986248572667
appear,0.3786993537630354, mostly,0.32294178009033203
_q_,0.37832620553672314, chuck.short,0.32280540466308594
assigned,0.3781903803270931, containers,0.32199479391177493
dealing,0.37803905829787254, occassions,0.32197943329811096
rohan.mcgovern,0.37752592039329036, nova-network-objects,0.3217824387053649
yunqiao,0.3768736993494843, correlate,0.32121598720550537
linker,0.37616275747617084, 209,0.320913868645827
additions,0.37610167264938354, inside,0.3190798709789912
blackberry,0.37563501790698084, settle,0.3187988558784127
ian.1.chen,0.37436069548130035, writes,0.3179124209564179
glenn,0.37366121634840965, registry,0.3176608585885593
returnedvalue,0.37366047501564026, accepted,0.3162405341863632
macieira,0.37350540757116896, tgt-admin,0.3159250070651372
role,0.3734193667769432, where,0.31577559518020437
outputting,0.37277105326453847, url,0.3156415679706977
wheelevent,0.37257465720176697, filed,0.3155285492539406
qoffscreensurface,0.3720628619194031, marker,0.3148562768474221
dedicated,0.37197330594062805, define,0.31376435110966366
sdk,0.37197036296129227, negligible,0.3136351704597473
locking,0.37175452709198, namespace,0.3115958543494344
kill,0.3717001089826226, attempted,0.31122914254665374
enginioclient,0.37086941053469974, comments,0.3106655697338283
profusion.mobi,0.37083323087011066, module,0.3102889336699333
knoll,0.3707225914958007, expected,0.3101492624443311
qglobal.h,0.3705546036362648, nova.utils,0.3100959789007902
marius.storm-olsen,0.37033514039857046, them,0.3098697004218896
oswald,0.3702154654405407, 2.6,0.30915845930576324
optimise,0.36977818111578625, hook,0.30849551856517793
ubuntu,0.36956521961838007, int,0.30847984552383423
device-pixel-ratio,0.36772821843624115, self._set_instance_error_state,0.3063833713531494
accesses,0.3676991860071818, middleware,0.30626513876698236
frederik.gladhorn,0.36749937456960863, lvmiserdriver,0.30598729848861694
critical,0.36671398828427, storage-policies,0.3047996684908867
clipboard,0.36612324230372906, needed,0.30468916304409505
busy,0.3659454211592674, talk,0.3041863789161046
select,0.36581497453153133, sql,0.3041287176311016
accordingly,0.36572179943323135, flow,0.30373143156369525
completed,0.365691880385081, cooperativereader,0.3033663034439087
11.10,0.3648892628649871, speedup,0.3033108413219452
ppk_suppresssystemprintstatus,0.36477361992001534, truncated,0.3031252895792325
composite,0.3644666756902422, introducing,0.3029055595397949
qblittable,0.36412500962615013, lockfile,0.30262554436922073
reality,0.36406201869249344, changes,0.30254292941611743
inferred,0.3638959527015686, standard,0.3020723834633827
confusion,0.3625208452343941, conflict,0.3013586855183045
christian.kandeler,0.3620894253253937, build_and_run_instance,0.30078309774398804
pointers,0.36184466183185576, v3-api-schema,0.30066269636154175
particle,0.36131126899272203, larger,0.30011919513344765
qstandardpaths,0.36050690923418316, backed,0.29951930542786914
standard,0.36037140525877476, depend,0.29926827922463417
qfontmetrics,0.36023737986882526, unix_sockets,0.2988281548023224
ext-shane.2.kearns,0.35966987907886505, downgrade,0.29832751100713556
xmlpatterns,0.35954008748133975, zero,0.2976899426430464
maliit,0.35948696732521057, usages,0.29680752009153366
delegate,0.3594160333275795, framework,0.296505780890584
also,0.35894745601224715, exceeded,0.29514650627970695
merge-request,0.35739961415529253, another,0.29444746259186005
saving,0.3571659494191408, xmlrpclib,0.29429930448532104
bit,0.35711137592792513, 'create_volume,0.2939817011356354
robin+qt,0.356406868105599, utils,0.2936274686944671
job,0.35636449853579205, checked,0.29308370128273964
parts,0.3563379993041356, accounts,0.2927364557981491
-fpie,0.35538529356320697, helpers,0.29270850121974945
qmap,0.3550324333565576, restricted,0.29270343482494354
timespec,0.35474100708961487, search,0.2925267117097974
renamed,0.35432138480246067, up,0.2924565052547093
honglei,0.35422950237989426, cert,0.29123058915138245
addition,0.3536586344919421, fake_api_client,0.28981288988143206
assignment,0.3530170683349882, compute-api-objects,0.28978151082992554
substitution,0.3503670394420624, things,0.28948090367181145
based,0.3496607409324497, all,0.28871206062052535
elaborate,0.34959918772801757, dict,0.28798356531532826
qtbug-15379,0.3494741916656494, one,0.28698196543020105
pan,0.34941916664441425, there,0.2864417858654633
comment,0.3485947559432437, nodbtestcase,0.285989873111248
perform,0.3484901785850525, expires,0.28524646535515785
stored,0.3478379489055702, bindings,0.28503831118966144
configured,0.3471822268329561, instance_id,0.2831588809688886
determine,0.34605745896697043, invalid,0.28274879625274074
vcxproj,0.3459448218345642, |,0.28189931623637676
access,0.34550574165227455, command,0.28186034279254574
qplatformcursor,0.3451087474822998, simplejson,0.28106662444770336
qcompare,0.3448941643915272, indentation,0.2796446681022644
tested,0.34449263046617096, security_groups,0.27945590764284134
msaa,0.34394770860671997, 2012,0.2792699920634429
finishes,0.343651719391346, stubs,0.27895747994383174
+,0.343481259026493, non-primitive,0.27861639857292175
libunwind,0.34254490537568927, saved,0.2784751635044813
qt_im_module,0.34252041578292847, expiration,0.2778431475162506
!,0.3419712886214256, complicated,0.2770263155301412
qquickqrcschemedelegate,0.34110707106689614, dumb,0.27628479711711407
deadlocks,0.34090646107991535, m1.tiny,0.2761528491973877
occurred,0.3384230633576711, wedontsleep.org,0.2761228233575821
qbytearraydata,0.33790484350174665, 12,0.27610430121421814
qt_gstreamer_use_playbin_volume,0.33750104904174805, elevated,0.2757178122798602
displaying,0.336434543132782, exercise,0.2756582424044609
rcc,0.33605626970529556, generate,0.2751694026270083
indeed,0.33516933023929596, must,0.2747173583643003
checked,0.33441576911136506, possible,0.2744829363443635
qarraydataops,0.33436575531959534, driver.py,0.2737802043557167
whether,0.33434639969154406, hp,0.2735193118453026
jens.bache-wiig,0.33399793886201223, assertequal,0.2724644737318158
activeqt,0.3339889645576477, cinder.flags,0.27177276276052
qdocconf,0.33394991233944893, cacheconcurrencytestcase,0.27155954390764236
qwindow-compositor,0.3333333333333333, refresh,0.271479109625539
qqmltypedata,0.3333333333333333, replace,0.27138023000831407
bigger,0.3333333333333333, finish_resize,0.2712225119272868
validate,0.3333333333333333, house,0.2708616927266121
switch,0.33329619332734084, snapshot_metadata,0.27077099680900574
sleep,0.33321598172187805, addition,0.2706747000794048
qwidgets,0.332987517118454, ml2,0.2700982519891113
1.2,0.33084845542907715, apply,0.2699868492782116
handled,0.33032965334132314, seeing,0.2695898786187172
reduction,0.3297981657087803, 're,0.26881616427139804
mutex,0.32967332172120223, 8,0.26852235943078995
unreliable,0.32924552261829376, complex,0.26791638135910034
fix,0.32923814350884517, filtering,0.2668796586804092
viewportconstrainednotcompositedreason,0.32915544758240384, request,0.2667023380877586
video,0.32913209550962264, image_create,0.26653510332107544
useless,0.3282730899751186, uploading,0.26649321988224983
:csspropertyanimationwrappermap,0.3274531960487366, teardown,0.2661607662836711
existence,0.3265300939480464, tmpdir,0.2658841386437416
fbumberger,0.32575006162126857, ensure,0.26568673846555785
dietrich,0.3255823379432833, expect,0.2653968881815672
depends,0.3245910873843564, variables,0.2651043598140989
//lists.qt-project.org/pipermail/development/2013-january/009284.html,0.3240993171930313, pool,0.2647071611136198
jana,0.3235908728092909, _create_volume,0.26453160494565964
unlock,0.32305798927942914, results,0.2642152366228402
destination,0.322529599070549, forgotten,0.2639908269047737
resolution,0.32157425830761593, manifest,0.2638319104909897
king,0.3215240240097046, filtered,0.26377231379350025
rim.com,0.32130769891916094, redundant,0.2637653946876526
ready,0.3210773169994354, is_image_sharable,0.26349660009145737
normalized,0.3209314743677775, valinux.co.jp,0.26295922696590424
complains,0.3205383389722556, us,0.2626723828911781
leftover,0.3204375207424164, args,0.2623985052108765
preference,0.32025433828433353, /clock,0.2622668743133545
scope,0.31995198662791935, recreated,0.261744757493337
braces,0.3195948700110118, related,0.26132189053887006
ctor,0.3195018523062269, isaku,0.26122015714645386
associated,0.31855293959379194, serialized,0.2611468434333801
nico.vertriest,0.31833674261967343, instance,0.26039058647768426
mousefromtouch,0.317484974861145, expand,0.2603526711463928
shortcut,0.3173489198088646, less,0.2602398030459881
window,0.31706103637557603, overall,0.25967482291162014
generated,0.3169341908189757, confusion,0.25904979308446247
pathview,0.3166101773579915, sensible,0.25880518555641174
translations,0.3162178471684456, fail,0.2586316680235247
qv8engine,0.3155542314052582, hacking,0.25847346186637876
file,0.31489736957905384, computenode,0.258393054207166
flick,0.31486579154928523, e125,0.25828856229782104
qquickwidget,0.31298533048142085, distinguish,0.2580559775233269
root,0.31266045482719645, resize/migrate,0.257708415389061
vs.,0.3125031689802806, ignoring,0.2574586868286133
pcre,0.3123293589102104, times,0.25717686861753464
s2,0.31197259326775867, bigger,0.25707772374153137
keeping,0.3115742454926173, modification,0.2564626435438792
sean.harmer,0.3113611494030418, embrane,0.2556375443935394
improvement,0.30999113619327545, script,0.25543922416511033
qpainterpathprivate,0.3098815580209096, unix,0.25526594929397106
leena,0.30971964200337726, protection,0.2550104409456253
wayland,0.30936129949986935, directly,0.25489544915035367
polish,0.30869580805301666, v3-api-specification,0.25479226497312385
title,0.3083198517560959, every,0.25454534984686794
render,0.3082282120734453, wsgi,0.2545141950249672
labels,0.30805763602256775, rebuild,0.2543245593085885
cleared,0.3076647650450468, filter,0.25389293681031894
mixing,0.3072489798069, missing,0.2533735937606066
zhang,0.30724375269242693, _wait_for_destroy,0.2530907004450758
against,0.3070935217353205, escalation,0.25301994755864143
justroftest,0.3067968785762787, gone,0.25195594628651935
invoke,0.3064883351325989, ported,0.25140665223201114
retained,0.30629682292540866, agents,0.2512273132801056
notifications,0.3055222719907761, whose,0.2510609030723572
c99,0.30540236830711365, sql_connection,0.2507141522752742
context2d,0.3052873879671097, mock,0.2506761223077774
xpass,0.3052535420283675, >,0.2505577950979824
overload,0.30418691370222306, backup,0.25043942788172335
roaming,0.3041424974799156, preserved,0.24991530179977417
presume,0.30306893587112427, netapp,0.24980846047401428
holzammer,0.30247198343276976, goes,0.24953303346410394
localized,0.3019767999649048, automatically,0.24944353802129626
minimized,0.3016222305595875, 400,0.24938764902097837
fixup,0.30154047086834906, image_pending_upload,0.24880466051399708
inputitem,0.3008524477481842, __table_args__,0.2484489232301712
languages,0.3007813096046448, memcache,0.24799023568630219
preview,0.3001248612999916, query,0.2475980840574362
adaptor,0.3000975251197815, shown,0.24753504991531372
defaults,0.300081267952919, lifetime,0.24700294931729636
emitted,0.2996459983289242, probably,0.24649712350219488
wo,0.29919974795646137, properties,0.24610535417579943
\brief,0.2991473327080409, attributes,0.24584949007424126
documents,0.29911345965228975, v3-api-extension-versioning,0.24520969949662685
lighthouse,0.29796384647488594, are,0.24511697413185654
fully-ordered,0.2974615693092346, each,0.24484030459076167
sanity-review,0.2972152353479312, quotas,0.24451359113057455
mistake,0.29696519731078297, side,0.2443835453854667
range,0.29666237719357014, readonly,0.24400400323793292
reduce,0.29665599362208295, needs,0.24386502893898507
differing,0.2962404303252697, cli,0.24303523302078248
anotherthing,0.29604871571063995, dhcp,0.2424676876603248
